sample,sample_accession,library_name,experiment_accession,run_accession
RCN12025,SAMEA117703754,RCN12025_GRC1,ERX13789722,ERR14388603
RCN12025,SAMEA117703754,RCN12025_GRC2,ERX13789723,ERR14388604
RCN12025,SAMEA117703754,RCN12025_SPEC,ERX13789724,ERR14388605
RCN12032,SAMEA117703761,RCN12032_GRC1,ERX13789743,ERR14388624
RCN12032,SAMEA117703761,RCN12032_GRC2,ERX13789744,ERR14388625
RCN12032,SAMEA117703761,RCN12032_SPEC,ERX13789745,ERR14388626
RCN12033,SAMEA117703762,RCN12033_GRC1,ERX13789746,ERR14388627
RCN12033,SAMEA117703762,RCN12033_GRC2,ERX13789747,ERR14388628
RCN12033,SAMEA117703762,RCN12033_SPEC,ERX13789748,ERR14388629
RCN12051,SAMEA117703779,RCN12051_GRC1,ERX13789797,ERR14388678
RCN12051,SAMEA117703779,RCN12051_GRC2,ERX13789798,ERR14388679
RCN12051,SAMEA117703779,RCN12051_SPEC,ERX13789799,ERR14388680
RCN12060,SAMEA117703787,RCN12060_GRC1,ERX13789821,ERR14388702
RCN12060,SAMEA117703787,RCN12060_GRC2,ERX13789822,ERR14388703
RCN12060,SAMEA117703787,RCN12060_SPEC,ERX13789823,ERR14388704
RCN12070,SAMEA117703795,RCN12070_GRC1,ERX13789845,ERR14388726
RCN12070,SAMEA117703795,RCN12070_GRC2,ERX13789846,ERR14388727
RCN12070,SAMEA117703795,RCN12070_SPEC,ERX13789847,ERR14388728
RCN12075,SAMEA117703800,RCN12075_GRC1,ERX13789860,ERR14388741
RCN12075,SAMEA117703800,RCN12075_GRC2,ERX13789861,ERR14388742
RCN12075,SAMEA117703800,RCN12075_SPEC,ERX13789862,ERR14388743
RCN12688,SAMEA117704000,RCN12688_GRC1,ERX13790460,ERR14389341
RCN12688,SAMEA117704000,RCN12688_GRC2,ERX13790461,ERR14389342
RCN12688,SAMEA117704000,RCN12688_SPEC,ERX13790462,ERR14389343
RCN12710,SAMEA117704022,RCN12710_GRC1,ERX13790526,ERR14389407
RCN12710,SAMEA117704022,RCN12710_GRC2,ERX13790527,ERR14389408
RCN12710,SAMEA117704022,RCN12710_SPEC,ERX13790528,ERR14389409
RCN13267,SAMEA117704185,RCN13267_GRC1,ERX13791015,ERR14389896
RCN13267,SAMEA117704185,RCN13267_GRC2,ERX13791016,ERR14389897
RCN13267,SAMEA117704185,RCN13267_SPEC,ERX13791017,ERR14389898
RCN13271,SAMEA117704189,RCN13271_GRC1,ERX13791027,ERR14389908
RCN13271,SAMEA117704189,RCN13271_GRC2,ERX13791028,ERR14389909
RCN13271,SAMEA117704189,RCN13271_SPEC,ERX13791029,ERR14389910
RCN13274,SAMEA117704192,RCN13274_GRC1,ERX13791036,ERR14389917
RCN13274,SAMEA117704192,RCN13274_GRC2,ERX13791037,ERR14389918
RCN13274,SAMEA117704192,RCN13274_SPEC,ERX13791038,ERR14389919
RCN13312,SAMEA117704230,RCN13312_GRC1,ERX13791150,ERR14390031
RCN13312,SAMEA117704230,RCN13312_GRC2,ERX13791151,ERR14390032
RCN13312,SAMEA117704230,RCN13312_SPEC,ERX13791152,ERR14390033
RCN13313,SAMEA117704231,RCN13313_GRC1,ERX13791153,ERR14390034
RCN13313,SAMEA117704231,RCN13313_GRC2,ERX13791154,ERR14390035
RCN13313,SAMEA117704231,RCN13313_SPEC,ERX13791155,ERR14390036
RCN13342,SAMEA117704255,RCN13342_GRC1,ERX13791225,ERR14390106
RCN13342,SAMEA117704255,RCN13342_GRC2,ERX13791226,ERR14390107
RCN13342,SAMEA117704255,RCN13342_SPEC,ERX13791227,ERR14390108
RCN13344,SAMEA117704257,RCN13344_GRC1,ERX13791231,ERR14390112
RCN13344,SAMEA117704257,RCN13344_GRC2,ERX13791232,ERR14390113
RCN13344,SAMEA117704257,RCN13344_SPEC,ERX13791233,ERR14390114
RCN13346,SAMEA117704259,RCN13346_GRC1,ERX13791237,ERR14390118
RCN13346,SAMEA117704259,RCN13346_GRC2,ERX13791238,ERR14390119
RCN13346,SAMEA117704259,RCN13346_SPEC,ERX13791239,ERR14390120
RCN13351,SAMEA117704264,RCN13351_GRC1,ERX13791252,ERR14390133
RCN13351,SAMEA117704264,RCN13351_GRC2,ERX13791253,ERR14390134
RCN13351,SAMEA117704264,RCN13351_SPEC,ERX13791254,ERR14390135
RCN13364,SAMEA117704277,RCN13364_GRC1,ERX13791291,ERR14390172
RCN13364,SAMEA117704277,RCN13364_GRC2,ERX13791292,ERR14390173
RCN13364,SAMEA117704277,RCN13364_SPEC,ERX13791293,ERR14390174
RCN13374,SAMEA117704286,RCN13374_GRC1,ERX13791318,ERR14390199
RCN13374,SAMEA117704286,RCN13374_GRC2,ERX13791319,ERR14390200
RCN13374,SAMEA117704286,RCN13374_SPEC,ERX13791320,ERR14390201
RCN13383,SAMEA117704295,RCN13383_GRC1,ERX13791345,ERR14390226
RCN13383,SAMEA117704295,RCN13383_GRC2,ERX13791346,ERR14390227
RCN13383,SAMEA117704295,RCN13383_SPEC,ERX13791347,ERR14390228
RCN13386,SAMEA117704298,RCN13386_GRC1,ERX13791354,ERR14390235
RCN13386,SAMEA117704298,RCN13386_GRC2,ERX13791355,ERR14390236
RCN13386,SAMEA117704298,RCN13386_SPEC,ERX13791356,ERR14390237
RCN13389,SAMEA117704301,RCN13389_GRC1,ERX13791363,ERR14390244
RCN13389,SAMEA117704301,RCN13389_GRC2,ERX13791364,ERR14390245
RCN13389,SAMEA117704301,RCN13389_SPEC,ERX13791365,ERR14390246
RCN13427,SAMEA117704337,RCN13427_GRC1,ERX13791471,ERR14390352
RCN13427,SAMEA117704337,RCN13427_GRC2,ERX13791472,ERR14390353
RCN13427,SAMEA117704337,RCN13427_SPEC,ERX13791473,ERR14390354
RCN13455,SAMEA117704362,RCN13455_GRC1,ERX13791546,ERR14390427
RCN13455,SAMEA117704362,RCN13455_GRC2,ERX13791547,ERR14390428
RCN13455,SAMEA117704362,RCN13455_SPEC,ERX13791548,ERR14390429
RCN13466,SAMEA117704371,RCN13466_GRC1,ERX13791573,ERR14390454
RCN13466,SAMEA117704371,RCN13466_GRC2,ERX13791574,ERR14390455
RCN13466,SAMEA117704371,RCN13466_SPEC,ERX13791575,ERR14390456
RCN13468,SAMEA117704373,RCN13468_GRC1,ERX13791579,ERR14390460
RCN13468,SAMEA117704373,RCN13468_GRC2,ERX13791580,ERR14390461
RCN13468,SAMEA117704373,RCN13468_SPEC,ERX13791581,ERR14390462
RCN13487,SAMEA117704392,RCN13487_GRC1,ERX13791636,ERR14390517
RCN13487,SAMEA117704392,RCN13487_GRC2,ERX13791637,ERR14390518
RCN13487,SAMEA117704392,RCN13487_SPEC,ERX13791638,ERR14390519
RCN13488,SAMEA117704393,RCN13488_GRC1,ERX13791639,ERR14390520
RCN13488,SAMEA117704393,RCN13488_GRC2,ERX13791640,ERR14390521
RCN13488,SAMEA117704393,RCN13488_SPEC,ERX13791641,ERR14390522
RCN13501,SAMEA117704406,RCN13501_GRC1,ERX13791678,ERR14390559
RCN13501,SAMEA117704406,RCN13501_GRC2,ERX13791679,ERR14390560
RCN13501,SAMEA117704406,RCN13501_SPEC,ERX13791680,ERR14390561
RCN13512,SAMEA117704416,RCN13512_GRC1,ERX13791708,ERR14390589
RCN13512,SAMEA117704416,RCN13512_GRC2,ERX13791709,ERR14390590
RCN13512,SAMEA117704416,RCN13512_SPEC,ERX13791710,ERR14390591
RCN13549,SAMEA117704450,RCN13549_GRC1,ERX13791810,ERR14390691
RCN13549,SAMEA117704450,RCN13549_GRC2,ERX13791811,ERR14390692
RCN13549,SAMEA117704450,RCN13549_SPEC,ERX13791812,ERR14390693
RCN13554,SAMEA117704454,RCN13554_GRC1,ERX13791822,ERR14390703
RCN13554,SAMEA117704454,RCN13554_GRC2,ERX13791823,ERR14390704
RCN13554,SAMEA117704454,RCN13554_SPEC,ERX13791824,ERR14390705
RCN13564,SAMEA117704464,RCN13564_GRC1,ERX13791852,ERR14390733
RCN13564,SAMEA117704464,RCN13564_GRC2,ERX13791853,ERR14390734
RCN13564,SAMEA117704464,RCN13564_SPEC,ERX13791854,ERR14390735
RCN13568,SAMEA117704468,RCN13568_GRC1,ERX13791864,ERR14390745
RCN13568,SAMEA117704468,RCN13568_GRC2,ERX13791865,ERR14390746
RCN13568,SAMEA117704468,RCN13568_SPEC,ERX13791866,ERR14390747
RCN14217,SAMEA117704533,RCN14217_GRC1,ERX13792059,ERR14390940
RCN14217,SAMEA117704533,RCN14217_GRC2,ERX13792060,ERR14390941
RCN14217,SAMEA117704533,RCN14217_SPEC,ERX13792061,ERR14390942
RCN14238,SAMEA117704553,RCN14238_GRC1,ERX13792119,ERR14391000
RCN14238,SAMEA117704553,RCN14238_GRC2,ERX13792120,ERR14391001
RCN14238,SAMEA117704553,RCN14238_SPEC,ERX13792121,ERR14391002
RCN14574,SAMEA117704641,RCN14574_GRC1,ERX13792383,ERR14391264
RCN14574,SAMEA117704641,RCN14574_GRC2,ERX13792384,ERR14391265
RCN14574,SAMEA117704641,RCN14574_SPEC,ERX13792385,ERR14391266
RCN14580,SAMEA117704646,RCN14580_GRC1,ERX13792398,ERR14391279
RCN14580,SAMEA117704646,RCN14580_GRC2,ERX13792399,ERR14391280
RCN14580,SAMEA117704646,RCN14580_SPEC,ERX13792400,ERR14391281
RCN14666,SAMEA117704729,RCN14666_GRC1,ERX13792647,ERR14391528
RCN14666,SAMEA117704729,RCN14666_GRC2,ERX13792648,ERR14391529
RCN14666,SAMEA117704729,RCN14666_SPEC,ERX13792649,ERR14391530
RCN14691,SAMEA117704751,RCN14691_GRC1,ERX13792713,ERR14391594
RCN14691,SAMEA117704751,RCN14691_GRC2,ERX13792714,ERR14391595
RCN14691,SAMEA117704751,RCN14691_SPEC,ERX13792715,ERR14391596
RCN14696,SAMEA117704756,RCN14696_GRC1,ERX13792728,ERR14391609
RCN14696,SAMEA117704756,RCN14696_GRC2,ERX13792729,ERR14391610
RCN14696,SAMEA117704756,RCN14696_SPEC,ERX13792730,ERR14391611
RCN14697,SAMEA117704757,RCN14697_GRC1,ERX13792731,ERR14391612
RCN14697,SAMEA117704757,RCN14697_GRC2,ERX13792732,ERR14391613
RCN14697,SAMEA117704757,RCN14697_SPEC,ERX13792733,ERR14391614
RCN14739,SAMEA117704799,RCN14739_GRC1,ERX13792857,ERR14391738
RCN14739,SAMEA117704799,RCN14739_GRC2,ERX13792858,ERR14391739
RCN14739,SAMEA117704799,RCN14739_SPEC,ERX13792859,ERR14391740
RCN14741,SAMEA117704801,RCN14741_GRC1,ERX13792863,ERR14391744
RCN14741,SAMEA117704801,RCN14741_GRC2,ERX13792864,ERR14391745
RCN14741,SAMEA117704801,RCN14741_SPEC,ERX13792865,ERR14391746
RCN14925,SAMEA117704920,RCN14925_GRC1,ERX13793220,ERR14392101
RCN14925,SAMEA117704920,RCN14925_GRC2,ERX13793221,ERR14392102
RCN14925,SAMEA117704920,RCN14925_SPEC,ERX13793222,ERR14392103
