sample,sample_accession,library_name,experiment_accession,run_accession
RCN12025,SAMEA120050976,RCN12025_WGS,ERX15022377,ERR15625306
RCN12032,SAMEA120050981,RCN12032_WGS,ERX15022382,ERR15625311
RCN12033,SAMEA120050982,RCN12033_WGS,ERX15022383,ERR15625312
RCN12051,SAMEA120050995,RCN12051_WGS,ERX15022396,ERR15625325
RCN12060,SAMEA120051002,RCN12060_WGS,ERX15022403,ERR15625332
RCN12070,SAMEA120051009,RCN12070_WGS,ERX15022410,ERR15625339
RCN12075,SAMEA120051014,RCN12075_WGS,ERX15022415,ERR15625344
RCN12688,SAMEA120051211,RCN12688_WGS,ERX15022612,ERR15625541
RCN12710,SAMEA120051220,RCN12710_WGS,ERX15022621,ERR15625550
RCN13267,SAMEA120051483,RCN13267_WGS,ERX15022884,ERR15625813
RCN13271,SAMEA120051487,RCN13271_WGS,ERX15022888,ERR15625817
RCN13274,SAMEA120051490,RCN13274_WGS,ERX15022891,ERR15625820
RCN13312,SAMEA120051528,RCN13312_WGS,ERX15022929,ERR15625858
RCN13313,SAMEA120051529,RCN13313_WGS,ERX15022930,ERR15625859
RCN13342,SAMEA120051552,RCN13342_WGS,ERX15022953,ERR15625882
RCN13344,SAMEA120051554,RCN13344_WGS,ERX15022955,ERR15625884
RCN13346,SAMEA120051556,RCN13346_WGS,ERX15022957,ERR15625886
RCN13351,SAMEA120051561,RCN13351_WGS,ERX15022962,ERR15625891
RCN13364,SAMEA120051574,RCN13364_WGS,ERX15022976,ERR15625905
RCN13374,SAMEA120051584,RCN13374_WGS,ERX15022985,ERR15625914
RCN13383,SAMEA120051593,RCN13383_WGS,ERX15022994,ERR15625923
RCN13386,SAMEA120051596,RCN13386_WGS,ERX15022997,ERR15625926
RCN13389,SAMEA120051599,RCN13389_WGS,ERX15023000,ERR15625929
RCN13427,SAMEA120051633,RCN13427_WGS,ERX15023034,ERR15625963
RCN13455,SAMEA120051658,RCN13455_WGS,ERX15023059,ERR15625988
RCN13466,SAMEA120051668,RCN13466_WGS,ERX15023069,ERR15625998
RCN13468,SAMEA120051670,RCN13468_WGS,ERX15023071,ERR15626000
RCN13487,SAMEA120051689,RCN13487_WGS,ERX15023090,ERR15626019
RCN13488,SAMEA120051690,RCN13488_WGS,ERX15023091,ERR15626020
RCN13501,SAMEA120051703,RCN13501_WGS,ERX15023104,ERR15626033
RCN13512,SAMEA120051712,RCN13512_WGS,ERX15023113,ERR15626042
RCN13549,SAMEA120051746,RCN13549_WGS,ERX15023147,ERR15626076
RCN13554,SAMEA120051751,RCN13554_WGS,ERX15023152,ERR15626081
RCN13564,SAMEA120051761,RCN13564_WGS,ERX15023162,ERR15626091
RCN13568,SAMEA120051765,RCN13568_WGS,ERX15023166,ERR15626095
RCN14217,SAMEA120052029,RCN14217_WGS,ERX15023430,ERR15626359
RCN14238,SAMEA120052037,RCN14238_WGS,ERX15023438,ERR15626367
RCN14574,SAMEA120052094,RCN14574_WGS,ERX15023495,ERR15626424
RCN14580,SAMEA120052099,RCN14580_WGS,ERX15023500,ERR15626429
RCN14666,SAMEA120052184,RCN14666_WGS,ERX15023585,ERR15626514
RCN14691,SAMEA120052200,RCN14691_WGS,ERX15023600,ERR15626529
RCN14696,SAMEA120052203,RCN14696_WGS,ERX15023604,ERR15626533
RCN14697,SAMEA120052204,RCN14697_WGS,ERX15023605,ERR15626534
RCN14739,SAMEA120052235,RCN14739_WGS,ERX15023636,ERR15626565
RCN14741,SAMEA120052237,RCN14741_WGS,ERX15023638,ERR15626567
RCN14925,SAMEA120052302,RCN14925_WGS,ERX15023703,ERR15626632
RCN14927,SAMEA120052304,RCN14927_WGS,ERX15023705,ERR15626634
RCN14939,SAMEA120052315,RCN14939_WGS,ERX15023716,ERR15626645
RCN14969,SAMEA120052337,RCN14969_WGS,ERX15023738,ERR15626667
RCN15037,SAMEA120052395,RCN15037_WGS,ERX15023796,ERR15626725
RCN15201,SAMEA120052533,RCN15201_WGS,ERX15023934,ERR15626863
RCN15202,SAMEA120052534,RCN15202_WGS,ERX15023935,ERR15626864
RCN15246,SAMEA120052576,RCN15246_WGS,ERX15023977,ERR15626906
RCN15250,SAMEA120052580,RCN15250_WGS,ERX15023981,ERR15626910
RCN15271,SAMEA120052598,RCN15271_WGS,ERX15023999,ERR15626928
RCN15274,SAMEA120052601,RCN15274_WGS,ERX15024002,ERR15626931
RCN15293,SAMEA120052619,RCN15293_WGS,ERX15024020,ERR15626949
RCN15297,SAMEA120052623,RCN15297_WGS,ERX15024024,ERR15626953
RCN15299,SAMEA120052625,RCN15299_WGS,ERX15024026,ERR15626955
RCN15307,SAMEA120052633,RCN15307_WGS,ERX15024034,ERR15626963
RCN15347,SAMEA120052670,RCN15347_WGS,ERX15024071,ERR15627000
RCN15351,SAMEA120052674,RCN15351_WGS,ERX15024075,ERR15627004
RCN16011,SAMEA120052851,RCN16011_WGS,ERX15024252,ERR15627181
RCN18593,SAMEA120053004,RCN18593_WGS,ERX15024405,ERR15627334
RCN18714,SAMEA120053085,RCN18714_WGS,ERX15024486,ERR15627415
RCN18717,SAMEA120053088,RCN18717_WGS,ERX15024489,ERR15627418
RCN24791,SAMEA120053680,RCN24791_WGS,ERX15025081,ERR15628010
RCN24794,SAMEA120053683,RCN24794_WGS,ERX15025084,ERR15628013
RCN24918,SAMEA120053800,RCN24918_WGS,ERX15025201,ERR15628130
RCN25190,SAMEA120053977,RCN25190_WGS,ERX15025378,ERR15628307
RCN25319,SAMEA120054106,RCN25319_WGS,ERX15025507,ERR15628436
