sample,sample_accession,library_name,experiment_accession,run_accession
RCN12084,SAMEA120051022,RCN12084_WGS,ERX15022423,ERR15625352
RCN12115,SAMEA120051034,RCN12115_WGS,ERX15022435,ERR15625364
RCN12693,SAMEA120051213,RCN12693_WGS,ERX15022614,ERR15625543
RCN12722,SAMEA120051226,RCN12722_WGS,ERX15022627,ERR15625556
RCN12041,SAMEA120050987,RCN12041_WGS,ERX15022388,ERR15625317
RCN12072,SAMEA120051011,RCN12072_WGS,ERX15022412,ERR15625341
RCN12075,SAMEA120051014,RCN12075_WGS,ERX15022415,ERR15625344
RCN12076,SAMEA120051015,RCN12076_WGS,ERX15022416,ERR15625345
RCN12080,SAMEA120051018,RCN12080_WGS,ERX15022419,ERR15625348
RCN12103,SAMEA120051028,RCN12103_WGS,ERX15022429,ERR15625358
RCN12111,SAMEA120051031,RCN12111_WGS,ERX15022432,ERR15625361
RCN12676,SAMEA120051207,RCN12676_WGS,ERX15022608,ERR15625537
RCN12058,SAMEA120051000,RCN12058_WGS,ERX15022401,ERR15625330
RCN12079,SAMEA120051017,RCN12079_WGS,ERX15022418,ERR15625347
RCN12083,SAMEA120051021,RCN12083_WGS,ERX15022422,ERR15625351
RCN12100,SAMEA120051027,RCN12100_WGS,ERX15022428,ERR15625357
RCN12059,SAMEA120051001,RCN12059_WGS,ERX15022402,ERR15625331
RCN12688,SAMEA120051211,RCN12688_WGS,ERX15022612,ERR15625541
RCN12698,SAMEA120051216,RCN12698_WGS,ERX15022617,ERR15625546
RCN12700,SAMEA120051217,RCN12700_WGS,ERX15022618,ERR15625547
RCN12704,SAMEA120051218,RCN12704_WGS,ERX15022619,ERR15625548
RCN12031,SAMEA120050980,RCN12031_WGS,ERX15022381,ERR15625310
RCN12710,SAMEA120051220,RCN12710_WGS,ERX15022621,ERR15625550
RCN12712,SAMEA120051221,RCN12712_WGS,ERX15022622,ERR15625551
RCN12026,SAMEA120050977,RCN12026_WGS,ERX15022378,ERR15625307
RCN12028,SAMEA120050979,RCN12028_WGS,ERX15022380,ERR15625309
RCN12032,SAMEA120050981,RCN12032_WGS,ERX15022382,ERR15625311
RCN12033,SAMEA120050982,RCN12033_WGS,ERX15022383,ERR15625312
RCN12044,SAMEA120050990,RCN12044_WGS,ERX15022391,ERR15625320
RCN12071,SAMEA120051010,RCN12071_WGS,ERX15022411,ERR15625340
RCN12082,SAMEA120051020,RCN12082_WGS,ERX15022421,ERR15625350
RCN12116,SAMEA120051035,RCN12116_WGS,ERX15022436,ERR15625365
RCN12696,SAMEA120051215,RCN12696_WGS,ERX15022616,ERR15625545
RCN12720,SAMEA120051225,RCN12720_WGS,ERX15022626,ERR15625555
RCN12725,SAMEA120051228,RCN12725_WGS,ERX15022629,ERR15625558
RCN12036,SAMEA120050985,RCN12036_WGS,ERX15022386,ERR15625315
RCN12043,SAMEA120050989,RCN12043_WGS,ERX15022390,ERR15625319
RCN12070,SAMEA120051009,RCN12070_WGS,ERX15022410,ERR15625339
RCN12716,SAMEA120051223,RCN12716_WGS,ERX15022624,ERR15625553
RCN12732,SAMEA120051231,RCN12732_WGS,ERX15022632,ERR15625561
RCN12035,SAMEA120050984,RCN12035_WGS,ERX15022385,ERR15625314
RCN12040,SAMEA120050986,RCN12040_WGS,ERX15022387,ERR15625316
RCN12051,SAMEA120050995,RCN12051_WGS,ERX15022396,ERR15625325
RCN12060,SAMEA120051002,RCN12060_WGS,ERX15022403,ERR15625332
RCN12694,SAMEA120051214,RCN12694_WGS,ERX15022615,ERR15625544
RCN12025,SAMEA120050976,RCN12025_WGS,ERX15022377,ERR15625306
RCN12112,SAMEA120051032,RCN12112_WGS,ERX15022433,ERR15625362
RCN12689,SAMEA120051212,RCN12689_WGS,ERX15022613,ERR15625542
RCN12726,SAMEA120051229,RCN12726_WGS,ERX15022630,ERR15625559
RCN12737,SAMEA120051235,RCN12737_WGS,ERX15022636,ERR15625565
RCN12751,SAMEA120051246,RCN12751_WGS,ERX15022647,ERR15625576
RCN13312,SAMEA120051528,RCN13312_WGS,ERX15022929,ERR15625858
RCN13346,SAMEA120051556,RCN13346_WGS,ERX15022957,ERR15625886
RCN13350,SAMEA120051560,RCN13350_WGS,ERX15022961,ERR15625890
RCN12733,SAMEA120051232,RCN12733_WGS,ERX15022633,ERR15625562
RCN12740,SAMEA120051237,RCN12740_WGS,ERX15022638,ERR15625567
RCN13270,SAMEA120051486,RCN13270_WGS,ERX15022887,ERR15625816
RCN13303,SAMEA120051519,RCN13303_WGS,ERX15022920,ERR15625849
RCN13342,SAMEA120051552,RCN13342_WGS,ERX15022953,ERR15625882
RCN13348,SAMEA120051558,RCN13348_WGS,ERX15022959,ERR15625888
RCN13364,SAMEA120051574,RCN13364_WGS,ERX15022976,ERR15625905
RCN13274,SAMEA120051490,RCN13274_WGS,ERX15022891,ERR15625820
RCN13278,SAMEA120051494,RCN13278_WGS,ERX15022895,ERR15625824
RCN13283,SAMEA120051499,RCN13283_WGS,ERX15022900,ERR15625829
RCN13285,SAMEA120051501,RCN13285_WGS,ERX15022902,ERR15625831
RCN13344,SAMEA120051554,RCN13344_WGS,ERX15022955,ERR15625884
RCN13382,SAMEA120051592,RCN13382_WGS,ERX15022993,ERR15625922
RCN13383,SAMEA120051593,RCN13383_WGS,ERX15022994,ERR15625923
RCN12738,SAMEA120051236,RCN12738_WGS,ERX15022637,ERR15625566
RCN12749,SAMEA120051244,RCN12749_WGS,ERX15022645,ERR15625574
RCN13265,SAMEA120051481,RCN13265_WGS,ERX15022882,ERR15625811
RCN13281,SAMEA120051497,RCN13281_WGS,ERX15022898,ERR15625827
RCN13313,SAMEA120051529,RCN13313_WGS,ERX15022930,ERR15625859
RCN12752,SAMEA120051247,RCN12752_WGS,ERX15022648,ERR15625577
RCN13279,SAMEA120051495,RCN13279_WGS,ERX15022896,ERR15625825
RCN12746,SAMEA120051242,RCN12746_WGS,ERX15022643,ERR15625572
RCN13271,SAMEA120051487,RCN13271_WGS,ERX15022888,ERR15625817
RCN13286,SAMEA120051502,RCN13286_WGS,ERX15022903,ERR15625832
RCN12734,SAMEA120051233,RCN12734_WGS,ERX15022634,ERR15625563
RCN12736,SAMEA120051234,RCN12736_WGS,ERX15022635,ERR15625564
RCN12741,SAMEA120051238,RCN12741_WGS,ERX15022639,ERR15625568
RCN12742,SAMEA120051239,RCN12742_WGS,ERX15022640,ERR15625569
RCN12744,SAMEA120051240,RCN12744_WGS,ERX15022641,ERR15625570
RCN12750,SAMEA120051245,RCN12750_WGS,ERX15022646,ERR15625575
RCN13267,SAMEA120051483,RCN13267_WGS,ERX15022884,ERR15625813
RCN13273,SAMEA120051489,RCN13273_WGS,ERX15022890,ERR15625819
RCN13275,SAMEA120051491,RCN13275_WGS,ERX15022892,ERR15625821
RCN13280,SAMEA120051496,RCN13280_WGS,ERX15022897,ERR15625826
RCN13288,SAMEA120051504,RCN13288_WGS,ERX15022905,ERR15625834
RCN13306,SAMEA120051522,RCN13306_WGS,ERX15022923,ERR15625852
RCN13339,SAMEA120051549,RCN13339_WGS,ERX15022950,ERR15625879
RCN13351,SAMEA120051561,RCN13351_WGS,ERX15022962,ERR15625891
RCN13353,SAMEA120051563,RCN13353_WGS,ERX15022964,ERR15625893
RCN13356,SAMEA120051566,RCN13356_WGS,ERX15022967,ERR15625896
RCN13374,SAMEA120051584,RCN13374_WGS,ERX15022985,ERR15625914
RCN12745,SAMEA120051241,RCN12745_WGS,ERX15022642,ERR15625571
RCN13263,SAMEA120051479,RCN13263_WGS,ERX15022880,ERR15625809
RCN13310,SAMEA120051526,RCN13310_WGS,ERX15022927,ERR15625856
RCN13338,SAMEA120051548,RCN13338_WGS,ERX15022949,ERR15625878
RCN13446,SAMEA120051651,RCN13446_WGS,ERX15023052,ERR15625981
RCN13479,SAMEA120051681,RCN13479_WGS,ERX15023082,ERR15626011
RCN13488,SAMEA120051690,RCN13488_WGS,ERX15023091,ERR15626020
RCN13580,SAMEA120051776,RCN13580_WGS,ERX15023177,ERR15626106
RCN13455,SAMEA120051658,RCN13455_WGS,ERX15023059,ERR15625988
RCN13474,SAMEA120051676,RCN13474_WGS,ERX15023077,ERR15626006
RCN13475,SAMEA120051677,RCN13475_WGS,ERX15023078,ERR15626007
RCN13482,SAMEA120051684,RCN13482_WGS,ERX15023085,ERR15626014
RCN13487,SAMEA120051689,RCN13487_WGS,ERX15023090,ERR15626019
RCN14197,SAMEA120052027,RCN14197_WGS,ERX15023428,ERR15626357
RCN14217,SAMEA120052029,RCN14217_WGS,ERX15023430,ERR15626359
RCN13386,SAMEA120051596,RCN13386_WGS,ERX15022997,ERR15625926
RCN13416,SAMEA120051624,RCN13416_WGS,ERX15023025,ERR15625954
RCN13427,SAMEA120051633,RCN13427_WGS,ERX15023034,ERR15625963
RCN13505,SAMEA120051706,RCN13505_WGS,ERX15023107,ERR15626036
RCN13549,SAMEA120051746,RCN13549_WGS,ERX15023147,ERR15626076
RCN13562,SAMEA120051759,RCN13562_WGS,ERX15023160,ERR15626089
RCN14210,SAMEA120052028,RCN14210_WGS,ERX15023429,ERR15626358
RCN13388,SAMEA120051598,RCN13388_WGS,ERX15022999,ERR15625928
RCN13452,SAMEA120051656,RCN13452_WGS,ERX15023057,ERR15625986
RCN13480,SAMEA120051682,RCN13480_WGS,ERX15023083,ERR15626012
RCN13512,SAMEA120051712,RCN13512_WGS,ERX15023113,ERR15626042
RCN13542,SAMEA120051739,RCN13542_WGS,ERX15023140,ERR15626069
RCN13568,SAMEA120051765,RCN13568_WGS,ERX15023166,ERR15626095
RCN13462,SAMEA120051664,RCN13462_WGS,ERX15023065,ERR15625994
RCN13466,SAMEA120051668,RCN13466_WGS,ERX15023069,ERR15625998
RCN13548,SAMEA120051745,RCN13548_WGS,ERX15023146,ERR15626075
RCN13389,SAMEA120051599,RCN13389_WGS,ERX15023000,ERR15625929
RCN13391,SAMEA120051601,RCN13391_WGS,ERX15023002,ERR15625931
RCN13476,SAMEA120051678,RCN13476_WGS,ERX15023079,ERR15626008
RCN13501,SAMEA120051703,RCN13501_WGS,ERX15023104,ERR15626033
RCN13540,SAMEA120051737,RCN13540_WGS,ERX15023138,ERR15626067
RCN13545,SAMEA120051742,RCN13545_WGS,ERX15023143,ERR15626072
RCN13557,SAMEA120051754,RCN13557_WGS,ERX15023155,ERR15626084
RCN13564,SAMEA120051761,RCN13564_WGS,ERX15023162,ERR15626091
RCN13567,SAMEA120051764,RCN13567_WGS,ERX15023165,ERR15626094
RCN13570,SAMEA120051767,RCN13570_WGS,ERX15023168,ERR15626097
RCN13385,SAMEA120051595,RCN13385_WGS,ERX15022996,ERR15625925
RCN13414,SAMEA120051622,RCN13414_WGS,ERX15023023,ERR15625952
RCN13495,SAMEA120051697,RCN13495_WGS,ERX15023098,ERR15626027
RCN13503,SAMEA120051705,RCN13503_WGS,ERX15023106,ERR15626035
RCN13508,SAMEA120051709,RCN13508_WGS,ERX15023110,ERR15626039
RCN13554,SAMEA120051751,RCN13554_WGS,ERX15023152,ERR15626081
RCN13468,SAMEA120051670,RCN13468_WGS,ERX15023071,ERR15626000
RCN13561,SAMEA120051758,RCN13561_WGS,ERX15023159,ERR15626088
RCN13581,SAMEA120051777,RCN13581_WGS,ERX15023178,ERR15626107
RCN13398,SAMEA120051607,RCN13398_WGS,ERX15023008,ERR15625937
RCN13507,SAMEA120051708,RCN13507_WGS,ERX15023109,ERR15626038
RCN13558,SAMEA120051755,RCN13558_WGS,ERX15023156,ERR15626085
RCN14220,SAMEA120052030,RCN14220_WGS,ERX15023431,ERR15626360
RCN14238,SAMEA120052037,RCN14238_WGS,ERX15023438,ERR15626367
RCN14251,SAMEA120052041,RCN14251_WGS,ERX15023442,ERR15626371
RCN14270,SAMEA120052050,RCN14270_WGS,ERX15023451,ERR15626380
RCN14304,SAMEA120052077,RCN14304_WGS,ERX15023478,ERR15626407
RCN14318,SAMEA120052086,RCN14318_WGS,ERX15023487,ERR15626416
RCN14580,SAMEA120052099,RCN14580_WGS,ERX15023500,ERR15626429
RCN14588,SAMEA120052107,RCN14588_WGS,ERX15023508,ERR15626437
RCN14317,SAMEA120052085,RCN14317_WGS,ERX15023486,ERR15626415
RCN14278,SAMEA120052056,RCN14278_WGS,ERX15023457,ERR15626386
RCN14281,SAMEA120052059,RCN14281_WGS,ERX15023460,ERR15626389
RCN14285,SAMEA120052061,RCN14285_WGS,ERX15023462,ERR15626391
RCN14294,SAMEA120052069,RCN14294_WGS,ERX15023470,ERR15626399
RCN14303,SAMEA120052076,RCN14303_WGS,ERX15023477,ERR15626406
RCN14319,SAMEA120052087,RCN14319_WGS,ERX15023488,ERR15626417
RCN14223,SAMEA120052032,RCN14223_WGS,ERX15023433,ERR15626362
RCN14574,SAMEA120052094,RCN14574_WGS,ERX15023495,ERR15626424
RCN14233,SAMEA120052035,RCN14233_WGS,ERX15023436,ERR15626365
RCN14577,SAMEA120052097,RCN14577_WGS,ERX15023498,ERR15626427
RCN14255,SAMEA120052043,RCN14255_WGS,ERX15023444,ERR15626373
RCN14288,SAMEA120052064,RCN14288_WGS,ERX15023465,ERR15626394
RCN14289,SAMEA120052065,RCN14289_WGS,ERX15023466,ERR15626395
RCN14293,SAMEA120052068,RCN14293_WGS,ERX15023469,ERR15626398
RCN14302,SAMEA120052075,RCN14302_WGS,ERX15023476,ERR15626405
RCN14312,SAMEA120052082,RCN14312_WGS,ERX15023483,ERR15626412
RCN14587,SAMEA120052106,RCN14587_WGS,ERX15023507,ERR15626436
RCN14590,SAMEA120052109,RCN14590_WGS,ERX15023510,ERR15626439
RCN14241,SAMEA120052039,RCN14241_WGS,ERX15023440,ERR15626369
RCN14280,SAMEA120052058,RCN14280_WGS,ERX15023459,ERR15626388
RCN14591,SAMEA120052110,RCN14591_WGS,ERX15023511,ERR15626440
RCN14284,SAMEA120052060,RCN14284_WGS,ERX15023461,ERR15626390
RCN14286,SAMEA120052062,RCN14286_WGS,ERX15023463,ERR15626392
RCN14320,SAMEA120052088,RCN14320_WGS,ERX15023489,ERR15626418
RCN14271,SAMEA120052051,RCN14271_WGS,ERX15023452,ERR15626381
RCN14309,SAMEA120052079,RCN14309_WGS,ERX15023480,ERR15626409
RCN14321,SAMEA120052089,RCN14321_WGS,ERX15023490,ERR15626419
RCN14222,SAMEA120052031,RCN14222_WGS,ERX15023432,ERR15626361
RCN14226,SAMEA120052034,RCN14226_WGS,ERX15023435,ERR15626364
