sample_title,run_accession,panel
RCN12025,ERR14388603,GRC1
RCN12025,ERR14388604,GRC2
RCN12025,ERR14388605,SPEC
RCN12026,ERR14388606,GRC1
RCN12026,ERR14388607,GRC2
RCN12026,ERR14388608,SPEC
RCN12027,ERR14388609,GRC1
RCN12027,ERR14388610,GRC2
RCN12027,ERR14388611,SPEC
RCN12028,ERR14388612,GRC1
RCN12028,ERR14388613,GRC2
RCN12028,ERR14388614,SPEC
RCN12029,ERR14388615,GRC1
RCN12029,ERR14388616,GRC2
RCN12029,ERR14388617,SPEC
RCN12030,ERR14388618,GRC1
RCN12030,ERR14388619,GRC2
RCN12030,ERR14388620,SPEC
RCN12031,ERR14388621,GRC1
RCN12031,ERR14388622,GRC2
RCN12031,ERR14388623,SPEC
RCN12032,ERR14388624,GRC1
RCN12032,ERR14388625,GRC2
RCN12032,ERR14388626,SPEC
RCN12033,ERR14388627,GRC1
RCN12033,ERR14388628,GRC2
RCN12033,ERR14388629,SPEC
RCN12034,ERR14388630,GRC1
RCN12034,ERR14388631,GRC2
RCN12034,ERR14388632,SPEC
RCN12035,ERR14388633,GRC1
RCN12035,ERR14388634,GRC2
RCN12035,ERR14388635,SPEC
RCN12036,ERR14388636,GRC1
RCN12036,ERR14388637,GRC2
RCN12036,ERR14388638,SPEC
RCN12037,ERR14388639,GRC1
RCN12037,ERR14388640,GRC2
RCN12037,ERR14388641,SPEC
RCN12038,ERR14388642,GRC1
RCN12038,ERR14388643,GRC2
RCN12038,ERR14388644,SPEC
RCN12039,ERR14388645,GRC1
RCN12039,ERR14388646,GRC2
RCN12039,ERR14388647,SPEC
RCN12040,ERR14388648,GRC1
RCN12040,ERR14388649,GRC2
RCN12040,ERR14388650,SPEC
RCN12041,ERR14388651,GRC1
RCN12041,ERR14388652,GRC2
RCN12041,ERR14388653,SPEC
RCN12042,ERR14388654,GRC1
RCN12042,ERR14388655,GRC2
RCN12042,ERR14388656,SPEC
RCN12043,ERR14388657,GRC1
RCN12043,ERR14388658,GRC2
RCN12043,ERR14388659,SPEC
RCN12044,ERR14388660,GRC1
RCN12044,ERR14388661,GRC2
RCN12044,ERR14388662,SPEC
RCN12045,ERR14388663,GRC1
RCN12045,ERR14388664,GRC2
RCN12045,ERR14388665,SPEC
RCN12046,ERR14388666,GRC1
RCN12046,ERR14388667,GRC2
RCN12046,ERR14388668,SPEC
RCN12047,ERR14388669,GRC1
RCN12047,ERR14388670,GRC2
RCN12047,ERR14388671,SPEC
RCN12048,ERR14388672,GRC1
RCN12048,ERR14388673,GRC2
RCN12048,ERR14388674,SPEC
RCN12050,ERR14388675,GRC1
RCN12050,ERR14388676,GRC2
RCN12050,ERR14388677,SPEC
RCN12051,ERR14388678,GRC1
RCN12051,ERR14388679,GRC2
RCN12051,ERR14388680,SPEC
RCN12052,ERR14388681,GRC1
RCN12052,ERR14388682,GRC2
RCN12052,ERR14388683,SPEC
RCN12053,ERR14388684,GRC1
RCN12053,ERR14388685,GRC2
RCN12053,ERR14388686,SPEC
RCN12054,ERR14388687,GRC1
RCN12054,ERR14388688,GRC2
RCN12054,ERR14388689,SPEC
RCN12055,ERR14388690,GRC1
RCN12055,ERR14388691,GRC2
RCN12055,ERR14388692,SPEC
RCN12057,ERR14388693,GRC1
RCN12057,ERR14388694,GRC2
RCN12057,ERR14388695,SPEC
RCN12058,ERR14388696,GRC1
RCN12058,ERR14388697,GRC2
RCN12058,ERR14388698,SPEC
RCN12059,ERR14388699,GRC1
RCN12059,ERR14388700,GRC2
RCN12059,ERR14388701,SPEC
RCN12060,ERR14388702,GRC1
RCN12060,ERR14388703,GRC2
RCN12060,ERR14388704,SPEC
RCN12061,ERR14388705,GRC1
RCN12061,ERR14388706,GRC2
RCN12061,ERR14388707,SPEC
RCN12062,ERR14388708,GRC1
RCN12062,ERR14388709,GRC2
RCN12062,ERR14388710,SPEC
RCN12063,ERR14388711,GRC1
RCN12063,ERR14388712,GRC2
RCN12063,ERR14388713,SPEC
RCN12064,ERR14388714,GRC1
RCN12064,ERR14388715,GRC2
RCN12064,ERR14388716,SPEC
RCN12066,ERR14388717,GRC1
RCN12066,ERR14388718,GRC2
RCN12066,ERR14388719,SPEC
RCN12068,ERR14388720,GRC1
RCN12068,ERR14388721,GRC2
RCN12068,ERR14388722,SPEC
RCN12069,ERR14388723,GRC1
RCN12069,ERR14388724,GRC2
RCN12069,ERR14388725,SPEC
RCN12070,ERR14388726,GRC1
RCN12070,ERR14388727,GRC2
RCN12070,ERR14388728,SPEC
RCN12071,ERR14388729,GRC1
RCN12071,ERR14388730,GRC2
RCN12071,ERR14388731,SPEC
RCN12072,ERR14388732,GRC1
RCN12072,ERR14388733,GRC2
RCN12072,ERR14388734,SPEC
RCN12073,ERR14388735,GRC1
RCN12073,ERR14388736,GRC2
RCN12073,ERR14388737,SPEC
RCN12074,ERR14388738,GRC1
RCN12074,ERR14388739,GRC2
RCN12074,ERR14388740,SPEC
RCN12075,ERR14388741,GRC1
RCN12075,ERR14388742,GRC2
RCN12075,ERR14388743,SPEC
RCN12076,ERR14388744,GRC1
RCN12076,ERR14388745,GRC2
RCN12076,ERR14388746,SPEC
RCN12077,ERR14388747,GRC1
RCN12077,ERR14388748,GRC2
RCN12077,ERR14388749,SPEC
RCN12078,ERR14388750,GRC1
RCN12078,ERR14388751,GRC2
RCN12078,ERR14388752,SPEC
RCN12079,ERR14388753,GRC1
RCN12079,ERR14388754,GRC2
RCN12079,ERR14388755,SPEC
RCN12080,ERR14388756,GRC1
RCN12080,ERR14388757,GRC2
RCN12080,ERR14388758,SPEC
RCN12081,ERR14388759,GRC1
RCN12081,ERR14388760,GRC2
RCN12081,ERR14388761,SPEC
RCN12082,ERR14388762,GRC1
RCN12082,ERR14388763,GRC2
RCN12082,ERR14388764,SPEC
RCN12083,ERR14388765,GRC1
RCN12083,ERR14388766,GRC2
RCN12083,ERR14388767,SPEC
RCN12084,ERR14388768,GRC1
RCN12084,ERR14388769,GRC2
RCN12084,ERR14388770,SPEC
RCN12085,ERR14388771,GRC1
RCN12085,ERR14388772,GRC2
RCN12085,ERR14388773,SPEC
RCN12087,ERR14388774,GRC1
RCN12087,ERR14388775,GRC2
RCN12087,ERR14388776,SPEC
RCN12088,ERR14388777,GRC1
RCN12088,ERR14388778,GRC2
RCN12088,ERR14388779,SPEC
RCN12089,ERR14388780,GRC1
RCN12089,ERR14388781,GRC2
RCN12089,ERR14388782,SPEC
RCN12090,ERR14388783,GRC1
RCN12090,ERR14388784,GRC2
RCN12090,ERR14388785,SPEC
RCN12091,ERR14388786,GRC1
RCN12091,ERR14388787,GRC2
RCN12091,ERR14388788,SPEC
RCN12092,ERR14388789,GRC1
RCN12092,ERR14388790,GRC2
RCN12092,ERR14388791,SPEC
RCN12093,ERR14388792,GRC1
RCN12093,ERR14388793,GRC2
RCN12093,ERR14388794,SPEC
RCN12094,ERR14388795,GRC1
RCN12094,ERR14388796,GRC2
RCN12094,ERR14388797,SPEC
RCN12095,ERR14388798,GRC1
RCN12095,ERR14388799,GRC2
RCN12095,ERR14388800,SPEC
RCN12096,ERR14388801,GRC1
RCN12096,ERR14388802,GRC2
RCN12096,ERR14388803,SPEC
RCN12098,ERR14388804,GRC1
RCN12098,ERR14388805,GRC2
RCN12098,ERR14388806,SPEC
RCN12100,ERR14388807,GRC1
RCN12100,ERR14388808,GRC2
RCN12100,ERR14388809,SPEC
RCN12101,ERR14388810,GRC1
RCN12101,ERR14388811,GRC2
RCN12101,ERR14388812,SPEC
RCN12102,ERR14388813,GRC1
RCN12102,ERR14388814,GRC2
RCN12102,ERR14388815,SPEC
RCN12103,ERR14388816,GRC1
RCN12103,ERR14388817,GRC2
RCN12103,ERR14388818,SPEC
RCN12105,ERR14388819,GRC1
RCN12105,ERR14388820,GRC2
RCN12105,ERR14388821,SPEC
RCN12107,ERR14388822,GRC1
RCN12107,ERR14388823,GRC2
RCN12107,ERR14388824,SPEC
RCN12108,ERR14388825,GRC1
RCN12108,ERR14388826,GRC2
RCN12108,ERR14388827,SPEC
RCN12109,ERR14388828,GRC1
RCN12109,ERR14388829,GRC2
RCN12109,ERR14388830,SPEC
RCN12110,ERR14388831,GRC1
RCN12110,ERR14388832,GRC2
RCN12110,ERR14388833,SPEC
RCN12111,ERR14388834,GRC1
RCN12111,ERR14388835,GRC2
RCN12111,ERR14388836,SPEC
RCN12112,ERR14388837,GRC1
RCN12112,ERR14388838,GRC2
RCN12112,ERR14388839,SPEC
RCN12113,ERR14388840,GRC1
RCN12113,ERR14388841,GRC2
RCN12113,ERR14388842,SPEC
RCN12115,ERR14388843,GRC1
RCN12115,ERR14388844,GRC2
RCN12115,ERR14388845,SPEC
RCN12116,ERR14388846,GRC1
RCN12116,ERR14388847,GRC2
RCN12116,ERR14388848,SPEC
RCN12435,ERR14388849,GRC1
RCN12435,ERR14388850,GRC2
RCN12435,ERR14388851,SPEC
RCN12436,ERR14388852,GRC1
RCN12436,ERR14388853,GRC2
RCN12436,ERR14388854,SPEC
RCN12437,ERR14388855,GRC1
RCN12437,ERR14388856,GRC2
RCN12437,ERR14388857,SPEC
RCN12438,ERR14388858,GRC1
RCN12438,ERR14388859,GRC2
RCN12438,ERR14388860,SPEC
RCN12439,ERR14388861,GRC1
RCN12439,ERR14388862,GRC2
RCN12439,ERR14388863,SPEC
RCN12440,ERR14388864,GRC1
RCN12440,ERR14388865,GRC2
RCN12440,ERR14388866,SPEC
RCN12442,ERR14388867,GRC1
RCN12442,ERR14388868,GRC2
RCN12442,ERR14388869,SPEC
RCN12444,ERR14388870,GRC1
RCN12444,ERR14388871,GRC2
RCN12444,ERR14388872,SPEC
RCN12445,ERR14388873,GRC1
RCN12445,ERR14388874,GRC2
RCN12445,ERR14388875,SPEC
RCN12446,ERR14388876,GRC1
RCN12446,ERR14388877,GRC2
RCN12446,ERR14388878,SPEC
RCN12447,ERR14388879,GRC1
RCN12447,ERR14388880,GRC2
RCN12447,ERR14388881,SPEC
RCN12449,ERR14388882,GRC1
RCN12449,ERR14388883,GRC2
RCN12449,ERR14388884,SPEC
RCN12450,ERR14388885,GRC1
RCN12450,ERR14388886,GRC2
RCN12450,ERR14388887,SPEC
RCN12451,ERR14388888,GRC1
RCN12451,ERR14388889,GRC2
RCN12451,ERR14388890,SPEC
RCN12452,ERR14388891,GRC1
RCN12452,ERR14388892,GRC2
RCN12452,ERR14388893,SPEC
RCN12453,ERR14388894,GRC1
RCN12453,ERR14388895,GRC2
RCN12453,ERR14388896,SPEC
RCN12454,ERR14388897,GRC1
RCN12454,ERR14388898,GRC2
RCN12454,ERR14388899,SPEC
RCN12455,ERR14388900,GRC1
RCN12455,ERR14388901,GRC2
RCN12455,ERR14388902,SPEC
RCN12456,ERR14388903,GRC1
RCN12456,ERR14388904,GRC2
RCN12456,ERR14388905,SPEC
RCN12457,ERR14388906,GRC1
RCN12457,ERR14388907,GRC2
RCN12457,ERR14388908,SPEC
RCN12458,ERR14388909,GRC1
RCN12458,ERR14388910,GRC2
RCN12458,ERR14388911,SPEC
RCN12459,ERR14388912,GRC1
RCN12459,ERR14388913,GRC2
RCN12459,ERR14388914,SPEC
RCN12460,ERR14388915,GRC1
RCN12460,ERR14388916,GRC2
RCN12460,ERR14388917,SPEC
RCN12461,ERR14388918,GRC1
RCN12461,ERR14388919,GRC2
RCN12461,ERR14388920,SPEC
RCN12462,ERR14388921,GRC1
RCN12462,ERR14388922,GRC2
RCN12462,ERR14388923,SPEC
RCN12463,ERR14388924,GRC1
RCN12463,ERR14388925,GRC2
RCN12463,ERR14388926,SPEC
RCN12464,ERR14388927,GRC1
RCN12464,ERR14388928,GRC2
RCN12464,ERR14388929,SPEC
RCN12465,ERR14388930,GRC1
RCN12465,ERR14388931,GRC2
RCN12465,ERR14388932,SPEC
RCN12466,ERR14388933,GRC1
RCN12466,ERR14388934,GRC2
RCN12466,ERR14388935,SPEC
RCN12467,ERR14388936,GRC1
RCN12467,ERR14388937,GRC2
RCN12467,ERR14388938,SPEC
RCN12468,ERR14388939,GRC1
RCN12468,ERR14388940,GRC2
RCN12468,ERR14388941,SPEC
RCN12469,ERR14388942,GRC1
RCN12469,ERR14388943,GRC2
RCN12469,ERR14388944,SPEC
RCN12471,ERR14388945,GRC1
RCN12471,ERR14388946,GRC2
RCN12471,ERR14388947,SPEC
RCN12473,ERR14388948,GRC1
RCN12473,ERR14388949,GRC2
RCN12473,ERR14388950,SPEC
RCN12474,ERR14388951,GRC1
RCN12474,ERR14388952,GRC2
RCN12474,ERR14388953,SPEC
RCN12475,ERR14388954,GRC1
RCN12475,ERR14388955,GRC2
RCN12475,ERR14388956,SPEC
RCN12476,ERR14388957,GRC1
RCN12476,ERR14388958,GRC2
RCN12476,ERR14388959,SPEC
RCN12477,ERR14388960,GRC1
RCN12477,ERR14388961,GRC2
RCN12477,ERR14388962,SPEC
RCN12478,ERR14388963,GRC1
RCN12478,ERR14388964,GRC2
RCN12478,ERR14388965,SPEC
RCN12479,ERR14388966,GRC1
RCN12479,ERR14388967,GRC2
RCN12479,ERR14388968,SPEC
RCN12480,ERR14388969,GRC1
RCN12480,ERR14388970,GRC2
RCN12480,ERR14388971,SPEC
RCN12481,ERR14388972,GRC1
RCN12481,ERR14388973,GRC2
RCN12481,ERR14388974,SPEC
RCN12482,ERR14388975,GRC1
RCN12482,ERR14388976,GRC2
RCN12482,ERR14388977,SPEC
RCN12483,ERR14388978,GRC1
RCN12483,ERR14388979,GRC2
RCN12483,ERR14388980,SPEC
RCN12484,ERR14388981,GRC1
RCN12484,ERR14388982,GRC2
RCN12484,ERR14388983,SPEC
RCN12486,ERR14388984,GRC1
RCN12486,ERR14388985,GRC2
RCN12486,ERR14388986,SPEC
RCN12489,ERR14388987,GRC1
RCN12489,ERR14388988,GRC2
RCN12489,ERR14388989,SPEC
RCN12490,ERR14388990,GRC1
RCN12490,ERR14388991,GRC2
RCN12490,ERR14388992,SPEC
RCN12491,ERR14388993,GRC1
RCN12491,ERR14388994,GRC2
RCN12491,ERR14388995,SPEC
RCN12493,ERR14388996,GRC1
RCN12493,ERR14388997,GRC2
RCN12493,ERR14388998,SPEC
RCN12494,ERR14388999,GRC1
RCN12494,ERR14389000,GRC2
RCN12494,ERR14389001,SPEC
RCN12495,ERR14389002,GRC1
RCN12495,ERR14389003,GRC2
RCN12495,ERR14389004,SPEC
RCN12496,ERR14389005,GRC1
RCN12496,ERR14389006,GRC2
RCN12496,ERR14389007,SPEC
RCN12497,ERR14389008,GRC1
RCN12497,ERR14389009,GRC2
RCN12497,ERR14389010,SPEC
RCN12498,ERR14389011,GRC1
RCN12498,ERR14389012,GRC2
RCN12498,ERR14389013,SPEC
RCN12500,ERR14389014,GRC1
RCN12500,ERR14389015,GRC2
RCN12500,ERR14389016,SPEC
RCN12501,ERR14389017,GRC1
RCN12501,ERR14389018,GRC2
RCN12501,ERR14389019,SPEC
RCN12503,ERR14389020,GRC1
RCN12503,ERR14389021,GRC2
RCN12503,ERR14389022,SPEC
RCN12504,ERR14389023,GRC1
RCN12504,ERR14389024,GRC2
RCN12504,ERR14389025,SPEC
RCN12505,ERR14389026,GRC1
RCN12505,ERR14389027,GRC2
RCN12505,ERR14389028,SPEC
RCN12506,ERR14389029,GRC1
RCN12506,ERR14389030,GRC2
RCN12506,ERR14389031,SPEC
RCN12507,ERR14389032,GRC1
RCN12507,ERR14389033,GRC2
RCN12507,ERR14389034,SPEC
RCN12508,ERR14389035,GRC1
RCN12508,ERR14389036,GRC2
RCN12508,ERR14389037,SPEC
RCN12509,ERR14389038,GRC1
RCN12509,ERR14389039,GRC2
RCN12509,ERR14389040,SPEC
RCN12510,ERR14389041,GRC1
RCN12510,ERR14389042,GRC2
RCN12510,ERR14389043,SPEC
RCN12511,ERR14389044,GRC1
RCN12511,ERR14389045,GRC2
RCN12511,ERR14389046,SPEC
RCN12512,ERR14389047,GRC1
RCN12512,ERR14389048,GRC2
RCN12512,ERR14389049,SPEC
RCN12513,ERR14389050,GRC1
RCN12513,ERR14389051,GRC2
RCN12513,ERR14389052,SPEC
RCN12514,ERR14389053,GRC1
RCN12514,ERR14389054,GRC2
RCN12514,ERR14389055,SPEC
RCN12515,ERR14389056,GRC1
RCN12515,ERR14389057,GRC2
RCN12515,ERR14389058,SPEC
RCN12516,ERR14389059,GRC1
RCN12516,ERR14389060,GRC2
RCN12516,ERR14389061,SPEC
RCN12517,ERR14389062,GRC1
RCN12517,ERR14389063,GRC2
RCN12517,ERR14389064,SPEC
RCN12518,ERR14389065,GRC1
RCN12518,ERR14389066,GRC2
RCN12518,ERR14389067,SPEC
RCN12520,ERR14389068,GRC1
RCN12520,ERR14389069,GRC2
RCN12520,ERR14389070,SPEC
RCN12521,ERR14389071,GRC1
RCN12521,ERR14389072,GRC2
RCN12521,ERR14389073,SPEC
RCN12522,ERR14389074,GRC1
RCN12522,ERR14389075,GRC2
RCN12522,ERR14389076,SPEC
RCN12524,ERR14389077,GRC1
RCN12524,ERR14389078,GRC2
RCN12524,ERR14389079,SPEC
RCN12525,ERR14389080,GRC1
RCN12525,ERR14389081,GRC2
RCN12525,ERR14389082,SPEC
RCN12526,ERR14389083,GRC1
RCN12526,ERR14389084,GRC2
RCN12526,ERR14389085,SPEC
RCN12527,ERR14389086,GRC1
RCN12527,ERR14389087,GRC2
RCN12527,ERR14389088,SPEC
RCN12528,ERR14389089,GRC1
RCN12528,ERR14389090,GRC2
RCN12528,ERR14389091,SPEC
RCN12529,ERR14389092,GRC1
RCN12529,ERR14389093,GRC2
RCN12529,ERR14389094,SPEC
RCN12531,ERR14389095,GRC1
RCN12531,ERR14389096,GRC2
RCN12531,ERR14389097,SPEC
RCN12532,ERR14389098,GRC1
RCN12532,ERR14389099,GRC2
RCN12532,ERR14389100,SPEC
RCN12533,ERR14389101,GRC1
RCN12533,ERR14389102,GRC2
RCN12533,ERR14389103,SPEC
RCN12535,ERR14389104,GRC1
RCN12535,ERR14389105,GRC2
RCN12535,ERR14389106,SPEC
RCN12536,ERR14389107,GRC1
RCN12536,ERR14389108,GRC2
RCN12536,ERR14389109,SPEC
RCN12537,ERR14389110,GRC1
RCN12537,ERR14389111,GRC2
RCN12537,ERR14389112,SPEC
RCN12538,ERR14389113,GRC1
RCN12538,ERR14389114,GRC2
RCN12538,ERR14389115,SPEC
RCN12540,ERR14389116,GRC1
RCN12540,ERR14389117,GRC2
RCN12540,ERR14389118,SPEC
RCN12541,ERR14389119,GRC1
RCN12541,ERR14389120,GRC2
RCN12541,ERR14389121,SPEC
RCN12542,ERR14389122,GRC1
RCN12542,ERR14389123,GRC2
RCN12542,ERR14389124,SPEC
RCN12543,ERR14389125,GRC1
RCN12543,ERR14389126,GRC2
RCN12543,ERR14389127,SPEC
RCN12544,ERR14389128,GRC1
RCN12544,ERR14389129,GRC2
RCN12544,ERR14389130,SPEC
RCN12545,ERR14389131,GRC1
RCN12545,ERR14389132,GRC2
RCN12545,ERR14389133,SPEC
RCN12546,ERR14389134,GRC1
RCN12546,ERR14389135,GRC2
RCN12546,ERR14389136,SPEC
RCN12547,ERR14389137,GRC1
RCN12547,ERR14389138,GRC2
RCN12547,ERR14389139,SPEC
RCN12548,ERR14389140,GRC1
RCN12548,ERR14389141,GRC2
RCN12548,ERR14389142,SPEC
RCN12549,ERR14389143,GRC1
