run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR14388658,RCN12043,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14388658/ERR14388658_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/058/ERR14388658/ERR14388658_2.fastq.gz
ERR14388730,RCN12071,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/030/ERR14388730/ERR14388730_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/030/ERR14388730/ERR14388730_2.fastq.gz
ERR15625352,RCN12084,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15625352/ERR15625352_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/052/ERR15625352/ERR15625352_2.fastq.gz
ERR15625353,RCN12087,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/053/ERR15625353/ERR15625353_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/053/ERR15625353/ERR15625353_2.fastq.gz
ERR14388612,RCN12028,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14388612/ERR14388612_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14388612/ERR14388612_2.fastq.gz
ERR14388614,RCN12028,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14388614/ERR14388614_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14388614/ERR14388614_2.fastq.gz
ERR14388621,RCN12031,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14388621/ERR14388621_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14388621/ERR14388621_2.fastq.gz
ERR14388622,RCN12031,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14388622/ERR14388622_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14388622/ERR14388622_2.fastq.gz
ERR14388624,RCN12032,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14388624/ERR14388624_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14388624/ERR14388624_2.fastq.gz
ERR14388626,RCN12032,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388626/ERR14388626_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388626/ERR14388626_2.fastq.gz
ERR14388653,RCN12041,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14388653/ERR14388653_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/053/ERR14388653/ERR14388653_2.fastq.gz
ERR14388661,RCN12044,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14388661/ERR14388661_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/061/ERR14388661/ERR14388661_2.fastq.gz
ERR14388662,RCN12044,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14388662/ERR14388662_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14388662/ERR14388662_2.fastq.gz
ERR14388699,RCN12059,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14388699/ERR14388699_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/099/ERR14388699/ERR14388699_2.fastq.gz
ERR14388701,RCN12059,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14388701/ERR14388701_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/001/ERR14388701/ERR14388701_2.fastq.gz
ERR14388733,RCN12072,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14388733/ERR14388733_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14388733/ERR14388733_2.fastq.gz
ERR14388738,RCN12074,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14388738/ERR14388738_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14388738/ERR14388738_2.fastq.gz
ERR14388739,RCN12074,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/039/ERR14388739/ERR14388739_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/039/ERR14388739/ERR14388739_2.fastq.gz
ERR14388777,RCN12088,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14388777/ERR14388777_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/077/ERR14388777/ERR14388777_2.fastq.gz
ERR14388779,RCN12088,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14388779/ERR14388779_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/079/ERR14388779/ERR14388779_2.fastq.gz
ERR14388818,RCN12103,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14388818/ERR14388818_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/018/ERR14388818/ERR14388818_2.fastq.gz
ERR15625317,RCN12041,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/017/ERR15625317/ERR15625317_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/017/ERR15625317/ERR15625317_2.fastq.gz
ERR15625341,RCN12072,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15625341/ERR15625341_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/041/ERR15625341/ERR15625341_2.fastq.gz
ERR15625358,RCN12103,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15625358/ERR15625358_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/058/ERR15625358/ERR15625358_2.fastq.gz
ERR14388654,RCN12042,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/054/ERR14388654/ERR14388654_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/054/ERR14388654/ERR14388654_2.fastq.gz
ERR14388656,RCN12042,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14388656/ERR14388656_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/056/ERR14388656/ERR14388656_2.fastq.gz
ERR14388696,RCN12058,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14388696/ERR14388696_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/096/ERR14388696/ERR14388696_2.fastq.gz
ERR14388698,RCN12058,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14388698/ERR14388698_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/098/ERR14388698/ERR14388698_2.fastq.gz
ERR14388714,RCN12064,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14388714/ERR14388714_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14388714/ERR14388714_2.fastq.gz
ERR14388715,RCN12064,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/015/ERR14388715/ERR14388715_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/015/ERR14388715/ERR14388715_2.fastq.gz
ERR14388716,RCN12064,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/016/ERR14388716/ERR14388716_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/016/ERR14388716/ERR14388716_2.fastq.gz
ERR14388765,RCN12083,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14388765/ERR14388765_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/065/ERR14388765/ERR14388765_2.fastq.gz
