sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,INSDC_Pf8,INSDC_GenRe_GRC1,INSDC_GenRe_GRC2,INSDC_GenRe_SPEC
RCN12025,Vietnam,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625306,ERR14388603,ERR14388604,ERR14388605
RCN12026,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625307,ERR14388606,ERR14388607,ERR14388608
RCN12028,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625309,ERR14388612,ERR14388613,ERR14388614
RCN12031,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625310,ERR14388621,ERR14388622,ERR14388623
RCN12032,Vietnam,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625311,ERR14388624,ERR14388625,ERR14388626
RCN12033,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625312,ERR14388627,ERR14388628,ERR14388629
RCN12035,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625314,ERR14388633,ERR14388634,ERR14388635
RCN12036,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625315,ERR14388636,ERR14388637,ERR14388638
RCN12040,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625316,ERR14388648,ERR14388649,ERR14388650
RCN12041,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625317,ERR14388651,ERR14388652,ERR14388653
RCN12043,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625319,ERR14388657,ERR14388658,ERR14388659
RCN12044,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625320,ERR14388660,ERR14388661,ERR14388662
RCN12051,Vietnam,AmpSeqV1,Sensitive,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,ERR15625325,ERR14388678,ERR14388679,ERR14388680
RCN12058,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625330,ERR14388696,ERR14388697,ERR14388698
RCN12059,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,ERR15625331,ERR14388699,ERR14388700,ERR14388701
