run_accession,sample,ftp_url_read_1,ftp_url_read_2
ERR15625353,RCN12087,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/053/ERR15625353/ERR15625353_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/053/ERR15625353/ERR15625353_2.fastq.gz
ERR14388624,RCN12032,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14388624/ERR14388624_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14388624/ERR14388624_2.fastq.gz
ERR14388626,RCN12032,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388626/ERR14388626_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388626/ERR14388626_2.fastq.gz
ERR14388776,RCN12087,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14388776/ERR14388776_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14388776/ERR14388776_2.fastq.gz
ERR14388604,RCN12025,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/004/ERR14388604/ERR14388604_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/004/ERR14388604/ERR14388604_2.fastq.gz
ERR14388627,RCN12033,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/027/ERR14388627/ERR14388627_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/027/ERR14388627/ERR14388627_2.fastq.gz
ERR14388629,RCN12033,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/029/ERR14388629/ERR14388629_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/029/ERR14388629/ERR14388629_2.fastq.gz
ERR14388625,RCN12032,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/025/ERR14388625/ERR14388625_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/025/ERR14388625/ERR14388625_2.fastq.gz
ERR14388628,RCN12033,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/028/ERR14388628/ERR14388628_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/028/ERR14388628/ERR14388628_2.fastq.gz
ERR14388774,RCN12087,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/074/ERR14388774/ERR14388774_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/074/ERR14388774/ERR14388774_2.fastq.gz
ERR14388775,RCN12087,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/075/ERR14388775/ERR14388775_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/075/ERR14388775/ERR14388775_2.fastq.gz
ERR15625311,RCN12032,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/011/ERR15625311/ERR15625311_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/011/ERR15625311/ERR15625311_2.fastq.gz
ERR15625312,RCN12033,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/012/ERR15625312/ERR15625312_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/012/ERR15625312/ERR15625312_2.fastq.gz
ERR14388603,RCN12025,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/003/ERR14388603/ERR14388603_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/003/ERR14388603/ERR14388603_2.fastq.gz
ERR14388605,RCN12025,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/005/ERR14388605/ERR14388605_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/005/ERR14388605/ERR14388605_2.fastq.gz
ERR15625306,RCN12025,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/006/ERR15625306/ERR15625306_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/006/ERR15625306/ERR15625306_2.fastq.gz
ERR14388981,RCN12484,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/081/ERR14388981/ERR14388981_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/081/ERR14388981/ERR14388981_2.fastq.gz
ERR14388969,RCN12480,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14388969/ERR14388969_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/069/ERR14388969/ERR14388969_2.fastq.gz
ERR15625550,RCN12710,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15625550/ERR15625550_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15625550/ERR15625550_2.fastq.gz
ERR14388983,RCN12484,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/083/ERR14388983/ERR14388983_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/083/ERR14388983/ERR14388983_2.fastq.gz
ERR14388982,RCN12484,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/082/ERR14388982/ERR14388982_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/082/ERR14388982/ERR14388982_2.fastq.gz
ERR15625454,RCN12484,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/054/ERR15625454/ERR15625454_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/054/ERR15625454/ERR15625454_2.fastq.gz
ERR14388970,RCN12480,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14388970/ERR14388970_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/070/ERR14388970/ERR14388970_2.fastq.gz
ERR14388971,RCN12480,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14388971/ERR14388971_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/071/ERR14388971/ERR14388971_2.fastq.gz
ERR14389407,RCN12710,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14389407/ERR14389407_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14389407/ERR14389407_2.fastq.gz
ERR14389408,RCN12710,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14389408/ERR14389408_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14389408/ERR14389408_2.fastq.gz
ERR14389409,RCN12710,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14389409/ERR14389409_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14389409/ERR14389409_2.fastq.gz
ERR15625450,RCN12480,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15625450/ERR15625450_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/050/ERR15625450/ERR15625450_2.fastq.gz
ERR14389462,RCN12729,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14389462/ERR14389462_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/062/ERR14389462/ERR14389462_2.fastq.gz
ERR14389593,RCN12796,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/093/ERR14389593/ERR14389593_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/093/ERR14389593/ERR14389593_2.fastq.gz
ERR14389594,RCN12796,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/094/ERR14389594/ERR14389594_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/094/ERR14389594/ERR14389594_2.fastq.gz
ERR14389595,RCN12796,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/095/ERR14389595/ERR14389595_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/095/ERR14389595/ERR14389595_2.fastq.gz
ERR15625560,RCN12729,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15625560/ERR15625560_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/060/ERR15625560/ERR15625560_2.fastq.gz
ERR14389576,RCN12789,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14389576/ERR14389576_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/076/ERR14389576/ERR14389576_2.fastq.gz
