sample,country,ampseq_process,Artemisinin,Piperaquine,Mefloquine,Chloroquine,Pyrimethamine,Sulfadoxine,DHA-PPQ,AS-MQ,S-P,S-P-IPTp,INSDC_Pf8,INSDC_Pf8_readcount,INSDC_GenRe_GRC1,INSDC_GenRe_GRC1_readcount,INSDC_GenRe_GRC2,INSDC_GenRe_GRC2_readcount,INSDC_GenRe_SPEC,INSDC_GenRe_SPEC_readcount,GenRe_GRC1_ENA_FASTQ_FTP_1,GenRe_GRC2_ENA_FASTQ_FTP_1,GenRe_SPEC_ENA_FASTQ_FTP_1,Pf8_ENA_FASTQ_FTP_1,GenRe_GRC1_ENA_FASTQ_FTP_2,GenRe_GRC2_ENA_FASTQ_FTP_2,GenRe_SPEC_ENA_FASTQ_FTP_2,Pf8_ENA_FASTQ_FTP_2
RCN12025,Vietnam,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Undetermined,ERR15625306,13349952.0,ERR14388603,32819.0,ERR14388604,29409.0,ERR14388605,1094.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/003/ERR14388603/ERR14388603_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/004/ERR14388604/ERR14388604_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/005/ERR14388605/ERR14388605_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/006/ERR15625306/ERR15625306_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/003/ERR14388603/ERR14388603_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/004/ERR14388604/ERR14388604_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/005/ERR14388605/ERR14388605_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/006/ERR15625306/ERR15625306_2.fastq.gz
RCN12026,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15625307,9465156.0,ERR14388606,38189.0,ERR14388607,35804.0,ERR14388608,1192.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/006/ERR14388606/ERR14388606_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14388607/ERR14388607_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14388608/ERR14388608_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/007/ERR15625307/ERR15625307_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/006/ERR14388606/ERR14388606_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/007/ERR14388607/ERR14388607_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/008/ERR14388608/ERR14388608_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/007/ERR15625307/ERR15625307_2.fastq.gz
RCN12027,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15625308,6982470.0,ERR14388609,31562.0,ERR14388610,27437.0,ERR14388611,934.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14388609/ERR14388609_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14388610/ERR14388610_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14388611/ERR14388611_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/008/ERR15625308/ERR15625308_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/009/ERR14388609/ERR14388609_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/010/ERR14388610/ERR14388610_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/011/ERR14388611/ERR14388611_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/008/ERR15625308/ERR15625308_2.fastq.gz
RCN12028,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15625309,11012430.0,ERR14388612,32361.0,ERR14388613,34945.0,ERR14388614,1043.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14388612/ERR14388612_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14388613/ERR14388613_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14388614/ERR14388614_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/009/ERR15625309/ERR15625309_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/012/ERR14388612/ERR14388612_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/013/ERR14388613/ERR14388613_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/014/ERR14388614/ERR14388614_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/009/ERR15625309/ERR15625309_2.fastq.gz
RCN12031,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15625310,12979165.0,ERR14388621,21483.0,ERR14388622,16867.0,ERR14388623,293.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14388621/ERR14388621_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14388622/ERR14388622_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14388623/ERR14388623_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/010/ERR15625310/ERR15625310_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/021/ERR14388621/ERR14388621_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/022/ERR14388622/ERR14388622_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/023/ERR14388623/ERR14388623_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/010/ERR15625310/ERR15625310_2.fastq.gz
RCN12032,Vietnam,AmpSeqV1,Resistant,Sensitive,Sensitive,Resistant,Resistant,Resistant,Sensitive,Sensitive,Resistant,Sensitive,ERR15625311,14982320.0,ERR14388624,34578.0,ERR14388625,29608.0,ERR14388626,960.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14388624/ERR14388624_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/025/ERR14388625/ERR14388625_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388626/ERR14388626_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/011/ERR15625311/ERR15625311_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/024/ERR14388624/ERR14388624_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/025/ERR14388625/ERR14388625_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/026/ERR14388626/ERR14388626_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/011/ERR15625311/ERR15625311_2.fastq.gz
RCN12033,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15625312,11466623.0,ERR14388627,35936.0,ERR14388628,30872.0,ERR14388629,812.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/027/ERR14388627/ERR14388627_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/028/ERR14388628/ERR14388628_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/029/ERR14388629/ERR14388629_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/012/ERR15625312/ERR15625312_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/027/ERR14388627/ERR14388627_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/028/ERR14388628/ERR14388628_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/029/ERR14388629/ERR14388629_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/012/ERR15625312/ERR15625312_2.fastq.gz
RCN12035,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15625314,15658787.0,ERR14388633,54194.0,ERR14388634,45722.0,ERR14388635,1747.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14388633/ERR14388633_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14388634/ERR14388634_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/035/ERR14388635/ERR14388635_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/014/ERR15625314/ERR15625314_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/033/ERR14388633/ERR14388633_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/034/ERR14388634/ERR14388634_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/035/ERR14388635/ERR14388635_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/014/ERR15625314/ERR15625314_2.fastq.gz
RCN12036,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15625315,14558768.0,ERR14388636,28144.0,ERR14388637,29300.0,ERR14388638,858.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/036/ERR14388636/ERR14388636_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/037/ERR14388637/ERR14388637_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14388638/ERR14388638_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/015/ERR15625315/ERR15625315_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/036/ERR14388636/ERR14388636_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/037/ERR14388637/ERR14388637_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/038/ERR14388638/ERR14388638_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/015/ERR15625315/ERR15625315_2.fastq.gz
RCN12040,Vietnam,AmpSeqV1,Resistant,Resistant,Sensitive,Resistant,Resistant,Resistant,Resistant,Sensitive,Resistant,Undetermined,ERR15625316,18413027.0,ERR14388648,40748.0,ERR14388649,43523.0,ERR14388650,1334.0,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/048/ERR14388648/ERR14388648_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/049/ERR14388649/ERR14388649_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/050/ERR14388650/ERR14388650_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/016/ERR15625316/ERR15625316_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/048/ERR14388648/ERR14388648_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/049/ERR14388649/ERR14388649_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR143/050/ERR14388650/ERR14388650_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR156/016/ERR15625316/ERR15625316_2.fastq.gz
