file,count
ERR14388603_1.fastq.gz,32819
ERR14388604_1.fastq.gz,29409
ERR14388605_1.fastq.gz,1094
ERR14388606_1.fastq.gz,38189
ERR14388607_1.fastq.gz,35804
ERR14388608_1.fastq.gz,1192
ERR14388612_1.fastq.gz,32361
ERR14388613_1.fastq.gz,34945
ERR14388614_1.fastq.gz,1043
ERR14388621_1.fastq.gz,21483
ERR14388622_1.fastq.gz,16867
ERR14388623_1.fastq.gz,293
ERR14388624_1.fastq.gz,34578
ERR14388625_1.fastq.gz,29608
ERR14388626_1.fastq.gz,960
ERR14388627_1.fastq.gz,35936
ERR14388628_1.fastq.gz,30872
ERR14388629_1.fastq.gz,812
ERR14388633_1.fastq.gz,54194
ERR14388634_1.fastq.gz,45722
ERR14388635_1.fastq.gz,1747
ERR14388636_1.fastq.gz,28144
ERR14388637_1.fastq.gz,29300
ERR14388638_1.fastq.gz,858
ERR14388648_1.fastq.gz,40748
ERR14388649_1.fastq.gz,43523
ERR14388650_1.fastq.gz,1334
ERR14388651_1.fastq.gz,34335
ERR14388652_1.fastq.gz,38315
ERR14388653_1.fastq.gz,1229
ERR14388657_1.fastq.gz,34192
ERR14388658_1.fastq.gz,37423
ERR14388659_1.fastq.gz,950
ERR14388660_1.fastq.gz,32310
ERR14388661_1.fastq.gz,24877
ERR14388662_1.fastq.gz,898
ERR14388678_1.fastq.gz,33855
ERR14388679_1.fastq.gz,29508
ERR14388680_1.fastq.gz,891
ERR14388696_1.fastq.gz,26748
ERR14388697_1.fastq.gz,23436
ERR14388698_1.fastq.gz,983
ERR14388699_1.fastq.gz,34017
ERR14388700_1.fastq.gz,33064
ERR14388701_1.fastq.gz,1078
ERR14388702_1.fastq.gz,37645
ERR14388703_1.fastq.gz,34137
ERR14388704_1.fastq.gz,958
ERR14388726_1.fastq.gz,28988
ERR14388727_1.fastq.gz,24259
ERR14388728_1.fastq.gz,454
ERR14388729_1.fastq.gz,32661
ERR14388730_1.fastq.gz,32511
ERR14388731_1.fastq.gz,844
ERR14388732_1.fastq.gz,40088
ERR14388733_1.fastq.gz,35474
ERR14388734_1.fastq.gz,835
ERR14388741_1.fastq.gz,42097
ERR14388742_1.fastq.gz,35935
ERR14388743_1.fastq.gz,1436
ERR14388744_1.fastq.gz,37664
ERR14388745_1.fastq.gz,29405
ERR14388746_1.fastq.gz,769
ERR14388753_1.fastq.gz,40161
ERR14388754_1.fastq.gz,33250
ERR14388755_1.fastq.gz,1221
ERR14388756_1.fastq.gz,25179
ERR14388757_1.fastq.gz,21613
ERR14388758_1.fastq.gz,1080
ERR14388762_1.fastq.gz,29366
ERR14388763_1.fastq.gz,27724
