sample,dhfr_51,dhfr_59,dhfr_108,dhfr_164,crt_76,dhps_437,dhps_540,dhps_581,dhps_613,kelch13_458,kelch13_493,kelch13_539,kelch13_543,kelch13_561,kelch13_580,kelch13_252,kelch13_578,Artemisinin,Chloroquine,Pyrimethamine,Suladoxine,S-P
WT,N,C,S,I,K,A,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_N458Y,N,C,S,I,K,A,K,A,A,Y,Y,R,I,R,C,E,A,Resistant,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_Y493H,N,C,S,I,K,A,K,A,A,N,H,R,I,R,C,E,A,Resistant,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_R539T,N,C,S,I,K,A,K,A,A,N,Y,T,I,R,C,E,A,Resistant,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_I543T,N,C,S,I,K,A,K,A,A,N,Y,R,T,R,C,E,A,Resistant,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_R561H,N,C,S,I,K,A,K,A,A,N,Y,R,I,H,C,E,A,Resistant,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_C580Y,N,C,S,I,K,A,K,A,A,N,Y,R,I,R,Y,E,A,Resistant,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_E252Q,N,C,S,I,K,A,K,A,A,N,Y,R,I,R,C,Q,A,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_A578S,N,C,S,I,K,A,K,A,A,N,Y,R,I,R,C,E,S,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_multi1,N,C,S,I,K,A,K,A,A,N,Y,R,I,R,Y,Q,S,Resistant,Sensitive,Sensitive,Sensitive,Sensitive
Ar_k13_multi2,N,C,S,I,K,A,K,A,A,N/Y,Y/H,R/T,I/T,R/H,C/Y,E,A,Undetermined,Sensitive,Sensitive,Sensitive,Sensitive
Ch_crt_76_het,N,C,S,I,K/T,A,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Undetermined,Sensitive,Sensitive,Sensitive
Ch_crt_76T,N,C,S,I,T,A,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Resistant,Sensitive,Sensitive,Sensitive
Ch_crt_76R,N,C,S,I,R,A,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Undetermined,Sensitive,Sensitive,Sensitive
Py_dhfr_108_het,N,C,S/N,I,K,A,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Undetermined,Sensitive,Sensitive
Py_dhfr_108N,N,C,N,I,K,A,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Resistant,Sensitive,Sensitive
Py_dhfr_108I,N,C,I,I,K,A,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Undetermined,Sensitive,Sensitive
Su_dhps_437_het,N,C,S,I,K,A/G,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Sensitive,Undetermined,Sensitive
Su_dhps_437G,N,C,S,I,K,G,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Sensitive,Resistant,Sensitive
Su_dhps_437D,N,C,S,I,K,D,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Sensitive,Undetermined,Sensitive
S-P_triple_mut,I,R,N,I,K,A,K,A,A,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Sensitive,Sensitive,Resistant
S-P_sextuple_mut,I,R,N,I,K,G,E,A,T,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Sensitive,Sensitive,Resistant
S-P-all_mut,I,R,N,L,K,G,E,G,T,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Sensitive,Sensitive,Resistant
S-P-sextuple_mut_sens,N,R,N,L,K,G,E,A,T,N,Y,R,I,R,C,E,A,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive
All_mut,I,R,N,L,T,G,E,G,T,Y,H,T,T,H,Y,E,A,Resistant,Resistant,Resistant,Resistant,Resistant
